"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","minuslog10padj","diffexpressed"
"GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION","GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION","16/237","227/11652",0.0704845814977974,3.46534322199297,5.40480500677496,1.58433872304132e-05,0.000786489632609783,0.000667854734147754,"12534/208628/17216/52276/268697/54392/66977/76464/12236/12704/12235/18005/18817/68612/67629/20877",16,3.1043069978087,"down"
"GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT","GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT","8/237","56/11652",0.142857142857143,7.02350813743219,6.51039333301818,1.5926704636796e-05,0.000786489632609783,0.000667854734147754,"52276/268697/100502766/66977/110033/67849/20877/66468",8,3.1043069978087,"down"
"GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS","GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS","13/237","157/11652",0.0828025477707006,4.07095057647343,5.58195050942473,1.86605347438838e-05,0.000905035935078365,0.000768519391425742,"12977/16878/13386/21926/12522/12978/14960/20308/14727/14728/100504404/12349/16149",13,3.04333417648938,"down"
"GOBP_CELL_CELL_JUNCTION_ASSEMBLY","GOBP_CELL_CELL_JUNCTION_ASSEMBLY","11/237","114/11652",0.0964912280701754,4.74394847879192,5.78808417392989,1.9922169612589e-05,0.000939932234062645,0.000798151897074357,"12740/231830/12737/53624/18260/67451/21926/269116/218518/14623/14619",11,3.02690345643599,"down"
"GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","19/237","312/11652",0.0608974358974359,2.99399545602077,5.14413965241699,2.03837588548574e-05,0.000939932234062645,0.000798151897074357,"12534/208628/52276/268697/66977/76464/12236/77011/108000/12235/18817/12189/68612/71007/67849/27375/67629/20877/24108",19,3.02690345643599,"down"
"GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","22/237","398/11652",0.0552763819095477,2.71763882704663,5.023862512128,2.04182628165302e-05,0.000939932234062645,0.000798151897074357,"12534/208628/52276/268697/56419/66977/19361/76464/12236/12978/77011/108000/12235/18817/12189/68612/71007/67849/27375/67629/20877/24108",22,3.02690345643599,"down"
"GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE","GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE","20/237","346/11652",0.0578034682080925,2.84188190531938,5.01144717003487,2.61200384329783e-05,0.00116693240389616,0.00099091112973277,"16878/12534/208628/52276/268697/56419/100502766/66977/19361/76464/12236/21926/77011/12235/18005/18817/12189/71007/67629/20877",20,2.93295430030865,"down"
"GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN","GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN","6/237","30/11652",0.2,9.83291139240506,6.97978237551182,2.62087174660037e-05,0.00116693240389616,0.00099091112973277,"12266/21926/12262/12260/12259/26909",6,2.93295430030865,"down"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN","7/237","45/11652",0.155555555555556,7.6478199718706,6.43788672221547,3.09520852877326e-05,0.00133437878796003,0.00113309973041641,"17476/77777/14961/13040/14960/100504404/16149",7,2.8747208704422,"down"
"GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE","GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE","18/237","297/11652",0.0606060606060606,2.97967011891063,4.9796096455784,3.60422751104702e-05,0.00152954405000058,0.00129882606524737,"26934/12534/71819/14219/52276/13614/268697/54392/76464/21926/12704/12978/12235/16534/12189/68612/67849/20877",18,2.81543801106459,"down"
"GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE","GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE","15/237","218/11652",0.0688073394495413,3.38288235977238,5.11740243365576,3.87677197902499e-05,0.00160995136424339,0.00136710465818823,"12534/208628/52276/268697/66977/76464/12236/21926/77011/12235/18817/12189/71007/67629/20877",15,2.79318724357049,"down"
"GOBP_MITOTIC_CYTOKINESIS","GOBP_MITOTIC_CYTOKINESIS","9/237","83/11652",0.108433734939759,5.33109653805094,5.70567218423253,4.54466926400451e-05,0.00178888720594728,0.00151904963500135,"26934/404710/71819/12615/52276/74107/12704/18817/20877",9,2.74741704198098,"down"
"GOBP_APICAL_JUNCTION_ASSEMBLY","GOBP_APICAL_JUNCTION_ASSEMBLY","8/237","66/11652",0.121212121212121,5.95934023782125,5.82166118330477,5.40684559615208e-05,0.00203958231099292,0.00173192963467386,"12740/231830/12737/53624/18260/67451/21926/218518",8,2.69045876326246,"down"
"GOBP_SPINDLE_ORGANIZATION","GOBP_SPINDLE_ORGANIZATION","13/237","178/11652",0.0730337078651685,3.59066989048499,5.01859872857922,6.9645011239395e-05,0.00259117603460544,0.00220032039834916,"26934/71819/16551/52276/268697/72119/100502766/66977/26886/18005/218977/18817/20877",13,2.58650308170317,"down"
"GOBP_TIGHT_JUNCTION_ORGANIZATION","GOBP_TIGHT_JUNCTION_ORGANIZATION","8/237","69/11652",0.115942028985507,5.70023848835076,5.64224223927497,7.46955307412683e-05,0.00274152785801736,0.00232799299934735,"12740/231830/12737/53624/18260/67451/21926/218518",8,2.56200733667755,"down"
"GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE","9/237","90/11652",0.1,4.91645569620253,5.37422452513375,8.63263560903159e-05,0.00312616510855064,0.00265461117465098,"12266/18787/21926/13040/12978/16534/20201/77125/17082",9,2.50498808842852,"down"
"GOBP_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE","GOBP_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE","6/237","37/11652",0.162162162162162,7.97263085870681,6.12076555318371,9.10974016234781e-05,0.00325553345801798,0.00276446547031912,"217166/21926/12978/16534/12259/77125",6,2.48737783692961,"down"
"GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY","GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY","18/237","321/11652",0.0560747663551402,2.75689104459955,4.59918672141767,9.84909753762243e-05,0.00347404531327046,0.00295001677442662,"12977/26365/20310/16590/13614/21926/12978/16792/20510/16182/20308/14727/14728/21948/16149/77125/16181/17082",18,2.45916452118685,"down"
"GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION","GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION","16/237","265/11652",0.060377358490566,2.96842608072606,4.670412107075,0.000102835536262377,0.00348471518873357,0.0029590771949908,"12977/26365/16878/13386/21926/12522/12262/12978/14087/14960/20308/14727/14728/100504404/12349/16149",16,2.45783271168822,"down"
